AÑO	MES	CANTIDAD_TRABAJADORES_QUE_PARTICIPARON	OFICINA_DEPENDENCIA	ROLES	TEMA_DE_FORMACION	TIPO_DE_FORMACION	TOTAL_DE_PARTICIPANTES	TOTAL_DE_TRABAJADORES	PORCENTAJE_DE_PARTICIPACION	NUM_VECES_FORMADO_CADA_TRABAJADOR	CALIFICACION
2024	Abril	1	Gigante	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	13	189	7%	3	4.0
2024	Abril	1	Pital	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	13	189	7%	3	3.9
2024	Abril	1	Guadalupe	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	13	189	7%	3	3.9
2024	Abril	1	Chaparral	Jefe de Operaciones	Competencias básicas, técnicas y específicas	Inducción	13	189	7%	3	3.9
2024	Abril	1	Rivera	Cajeros	Competencias básicas, técnicas y específicas	Inducción	13	189	7%	3	3.9
2024	Abril	1	Saladoblanco	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	13	189	7%	3	3.9
2024	Abril	5	Direccion General	Gestores de Cartera	Competencias básicas, técnicas y específicas	Inducción	13	189	7%	3	3.9
2024	Abril	1	Guadalupe	Asesores externos y barra	Habilidades Comerciales	Entrenamiento	13	189	7%	3	3.9
2024	Abril	1	Planadas	Jefe de Operaciones	Habilidades operativas	Entrenamiento	13	189	7%	3	4.5
2024	Mayo	180	Todo Coofisam	Todos los roles	Virtualcoop	Capacitación Interna	180	196	92%	2	3.0
2024	Mayo	1	Garzón	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	9	196	5%	2	3.0
2024	Mayo	2	Espinal	Cajeros	Competencias básicas, técnicas y específicas	Inducción	9	196	5%	2	3.1
2024	Mayo	3	Acevedo	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	9	196	5%	2	3.0
2024	Mayo	1	Dirección General	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	9	196	5%	2	3.0
2024	Mayo	1	Fundacoofisam	Todos los roles	Portafolio de Servicios Coofisam y Fundacoofisam	Reinducción	9	196	5%	2	3.2
2024	Mayo	1	La Plata	Asesores externos y barra	Habilidades comerciales y operativas	Entrenamiento	9	196	5%	2	3.1
2024	Junio	187	Todo Coofisam	Todos los roles	Virtualcoop	Capacitación Interna	188	189	99%	1	4.5
2024	Junio	1	Acevedo	Cajeros	Tips de concentración	Reinducción	188	189	99%	1	4.5
2024	Julio	1	Tarqui	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	10	190	5%	1	4.04
2024	Julio	1	Suaza	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	10	190	5%	1	4.04
2024	Julio	1	Garzón	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	10	190	5%	1	4.04
2024	ho	1	Pitalito	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	10	190	5%	1	4.03
2024	Agosto	210	Todo Coofisam	Todos los roles	10 claves para alcanzar el exito en microcredito y cohesión de equipo	Capacitación Interna	210	210	100%	1	3.8
2024	Agosto	1	Tarqui	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	9	210	4%	1	3.4
2024	Agosto	1	Suaza	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	9	210	4%	1	3.9
2024	Agosto	1	Garzón	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	9	210	4%	1	3.9
2024	Agosto	1	Pitalito	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	9	210	4%	1	3.9
2024	Agosto	2	Hobo	Asesores externos y barra	Linea de mando, atención cliente interno	Entrenamiento	9	210	4%	1	3.9
2024	Agosto	3	Espinal	Asesores externos y barra	Linea de mando, atención cliente interno	Entrenamiento	9	210	4%	1	3.8
2024	Septiembre	187		Red de Oficinas	Todos los roles Sarc, aclaraciones circulares de crédito	Capacitación Interna	191	210	91%	3	4.5
2024	Octubre	1	Chaparral	Jefe de Operaciones	Competencias básicas, técnicas y específicas	Inducción	219	218	100%	1	4.02
2024	Octubre	1	Chaparral	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	219	218	100%	1	3.96
2024	Octubre	1	Planadas	Cajeros	Competencias básicas, técnicas y específicas	Inducción	219	218	100%	1	3.88
2024	Octubre	1	Pital	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	219	218	100%	1	4.01
2024	Octubre	1	Acevedo	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	219	218	100%	1	4.0
2024	Octubre	1	Acevedo	Cajeros	Tips de concentración	Entrenamiento	219	218	100%	1	4.0
2024	Noviembre	52	Todo Coofisam	Todos los roles	Manejo app Red Coopcentral, Siar, Marcación Pep	Capacitación Interna	201	206	98%	1	4.0
2024	Noviembre	116	Todo Coofisam	Todos los roles	Siar	Curso en Plataforma Aprendizaje	201	206	98%	1	4.5
2024	Noviembre	3	Suaza	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	5	Pitalito	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	2	Garzón	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	3	La Plata	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	3	Acevedo	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	3	Hobo	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	2	Florencia	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	3	Espinal	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	2	Chaparral	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	2	Planadas	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Noviembre	5	Neiva	Asesores externos y barra	Tps cobranza efectiva, etapas de cobranza, metodo de cobranza	Entrenamiento	201	206	98%	1	4.0
2024	Diciembre	102	Todo Coofisam	Todos los roles	Como hacer más en menos tiempo	Capacitación Interna	198	206	96%	1	4.0
2024	Diciembre	93	Todo Coofisam	Todos los roles	Sarlaft	Curso en Plataforma Aprendizaje	198	206	96%	1	4.1
2024	Diciembre	1	Saladoblanco	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	198	206	96%	1	4.1
2024	Diciembre	1	Dirección General	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	198	206	96%	1	4.1
2024	Diciembre	1	Dirección General	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	198	206	96%	1	4.1
2025	Enero	67		Red de Oficinas	Todos los roles Actualización Sarc, Seguridad vial	Capacitación Interna	159	218	73%	4	4.5
2025	Enero	88	Todo Coofisam	Todos los roles	Módulo 1 SST	Curso en Plataforma Aprendizaje	159	218	73%	4	4.4
2025	Enero	1	Suaza	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	159	218	73%	4	4.4
2025	Enero	2	Dirección General	Gestores Competencias básicas, técnicas	y específicas	Inducción	159	218	73%	4	4.5
2025	Enero	1	Garzón	Cajeros	Tips de concentración	Entrenamiento	159	218	73%	4	4.0
2025	Febrero	5	Dirección General	Todos los roles	Seguridad de la información, finanzas personales y familiares	Capacitación Interna	206	206	100%	3	4.5
2025	Febrero	169	Todo Coofisam	Todos los roles	Módulo 2 SST	Curso en Plataforma Aprendizaje	206	206	100%	3	4.5
2025	Febrero	1	Espinal	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	206	206	100%	3	4.5
2025	Febrero	1	Chaparral	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	206	206	100%	3	4.3
2025	Febrero	1	Tarqui	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	206	206	100%	3	4.1
2025	Febrero	1	Acevedo	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	206	206	100%	3	4.1
2025	Febrero	1	La Plata	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	206	206	100%	3	4.1
2025	Febrero	2	Dirección General	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	206	206	100%	3	4.1
2025	Febrero	1	La Argentina	Cajeros	Competencias básicas, técnicas y específicas	Inducción	206	206	100%	3	4.5
