Código	Denominación	[A]	[B]	[B] VS [A]	
		abr-2025 Proyectado	abr-2025 Histórico	abr-2025 Histórico	
				VS	
				abr-2025 Proyectado	
		Monto	Monto	Monto	%
1	ACTIVO	222.711.790.159	232.938.952.795	10.227.162.636	4,59%
11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	44.694.658.767	25.182.424.239	-19.512.234.528	-43,66%
1105	CAJA	12.429.584.603	5.444.865.372	-6.984.719.231	-56,19%
110505	CAJA GENERAL	12.429.584.603	5.444.865.372	-6.984.719.231	-56,19%
1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	31.049.005.013	10.499.907.332	-20.549.097.681	-66,18%
111005	BANCOS COMERCIALES	27.028.053.373	9.655.364.727	-17.372.688.646	-64,28%
111010	BANCOS COOPERATIVOS	4.020.951.640	844.542.605	-3.176.409.035	-79,00%
1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	1.216.069.151	1.980.335.844	764.266.693	62,85%
111515	FONDOS FIDUCIARIOS A LA VISTA	1.216.069.151	1.980.335.844	764.266.693	62,85%
1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	7.257.315.691	7.257.315.691	100,00%
112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	7.257.315.691	7.257.315.691	100,00%
12	INVERSIONES	18.751.328.132	25.566.903.257	6.815.575.125	36,35%
1203	FONDO DE LIQUIDEZ	0	9.473.932.859	9.473.932.859	100,00%
120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	9.473.932.859	9.473.932.859	100,00%
1220	INVERSIONES EN ENTIDADES ASOCIADAS	3.615.733.482	247.000.000	-3.368.733.482	-93,17%
122001	INVERSIONES CONTABILIZADAS AL COSTO	3.615.733.482	247.000.000	-3.368.733.482	-93,17%
1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	15.135.594.650	1.093.141.384	-14.042.453.266	-92,78%
122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	15.135.594.650	1.093.141.384	-14.042.453.266	-92,78%
1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	0	14.752.829.014	14.752.829.014	100,00%
122811	TÍTULOS EMITIDOS AVALADOS ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDENCIA FINANCIERA (INCLUIDOS LOS BONOS OBLIGATORIA U OPCIONALMENTE CONVERTIBLES EN ACCIONES)	0	14.752.829.014	14.752.829.014	100,00%
14	CARTERA DE CRÉDITOS	145.478.563.395	171.437.204.578	25.958.641.183	17,84%
1404	CRÉDITOS DE VIVIENDA - CON LIBRANZA	76.706.744	75.649.813	-1.056.931	-1,38%
140405	CATEGORÍA A RIESGO NORMAL	76.706.744	75.649.813	-1.056.931	-1,38%
1405	CRÉDITOS DE VIVIENDA - SIN LIBRANZA	3.398.553.120	3.544.436.312	145.883.192	4,29%
140505	CATEGORÍA A RIESGO NORMAL	3.282.817.343	3.368.736.959	85.919.616	2,62%
