Código	Denominación	[A]	[B]	[B] VS [A]	
		ago-2025 Proyectado	ago-2025 Histórico	ago-2025 Histórico	
				VS	
				ago-2025 Proyectado	
		Monto	Monto	Monto	%
1	ACTIVO	257.374.405.566	279.851.309.569	22.476.904.003	8,73%
11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	68.463.181.024	36.084.350.958	-32.378.830.066	-47,29%
1105	CAJA	12.138.521.995	8.101.097.608	-4.037.424.387	-33,26%
110505	CAJA GENERAL	12.138.521.995	8.101.097.608	-4.037.424.387	-33,26%
1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	50.784.599.912	18.970.712.312	-31.813.887.600	-62,64%
111005	BANCOS COMERCIALES	43.705.380.942	16.423.708.291	-27.281.672.651	-62,42%
111010	BANCOS COOPERATIVOS	7.079.218.969	2.547.004.021	-4.532.214.948	-64,02%
1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	5.540.059.116	958.167.478	-4.581.891.638	-82,70%
111515	FONDOS FIDUCIARIOS A LA VISTA	5.540.059.116	958.167.478	-4.581.891.638	-82,70%
1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	8.054.373.560	8.054.373.560	100,00%
112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	8.054.373.560	8.054.373.560	100,00%
12	INVERSIONES	17.209.318.013	61.912.293.414	44.702.975.401	259,76%
1203	FONDO DE LIQUIDEZ	0	12.117.235.046	12.117.235.046	100,00%
120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	12.117.235.046	12.117.235.046	100,00%
1220	INVERSIONES EN ENTIDADES ASOCIADAS	453.017.535	247.000.000	-206.017.535	-45,48%
122001	INVERSIONES CONTABILIZADAS AL COSTO	453.017.535	247.000.000	-206.017.535	-45,48%
1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	1.896.348.228	1.104.822.723	-791.525.505	-41,74%
122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	1.896.348.228	1.104.822.723	-791.525.505	-41,74%
1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	14.859.952.250	48.443.235.645	33.583.283.395	226,00%
122811	TÍTULOS EMITIDOS AVALADOS ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDENCIA FINANCIERA (INCLUIDOS LOS BONOS OBLIGATORIA U OPCIONALMENTE CONVERTIBLES EN ACCIONES)	14.859.952.250	48.443.235.645	33.583.283.395	226,00%
14	CARTERA DE CRÉDITOS	154.511.928.160	169.563.977.094	15.052.048.934	9,74%
1404	CRÉDITOS DE VIVIENDA - CON LIBRANZA	76.706.744	146.173.160	69.466.417	90,56%
140405	CATEGORÍA A RIESGO NORMAL	76.706.744	146.173.160	69.466.417	90,56%
1405	CRÉDITOS DE VIVIENDA - SIN LIBRANZA	3.398.553.120	3.788.513.538	389.960.418	11,47%
140505	CATEGORÍA A RIESGO NORMAL	3.282.817.343	3.671.061.568	388.244.225	11,83%
140510	CATEGORÍA B RIESGO ACEPTABLE	53.190.115	20.220.150	-32.969.965	-61,99%
140515	CATEGORÍA C RIESGO APRECIABLE	40.114.883	0	-40.114.883	-100,00%
140520	CATEGORÍA D RIESGO SIGNIFICATIVO	0	49.982.607	49.982.607	100,00%
140525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	22.430.778	47.249.213	24.818.435	110,64%
1406	INTERESES CRÉDITOS DE VIVIENDA	256.821.962	36.851.186	-219.970.776	-85,65%
140605	CATEGORÍA A RIESGO NORMAL	30.706.448	30.543.608	-162.840	-0,53%
140610	CATEGORÍA B RIESGO ACEPTABLE	2.748.049	489.276	-2.258.773	-82,20%
140615	CATEGORÍA C RIESGO APRECIABLE	216.652.283	0	-216.652.283	-100,00%
140620	CATEGORÍA D RIESGO SIGNIFICATIVO	0	1.617.403	1.617.403	100,00%
140625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	800.635	2.222.646	1.422.011	177,61%
140630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	5.914.546	1.978.253	-3.936.293	-66,55%
1407	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS VIVIENDA	29.086.452	351.703	-28.734.749	-98,79%
140705	CATEGORÍA A RIESGO NORMAL	0	65.700	65.700	100,00%
140710	CATEGORÍA B RIESGO ACEPTABLE	5.206.592	87.600	-5.118.992	-98,32%
140715	CATEGORÍA C RIESGO APRECIABLE	10.413.184	0	-10.413.184	-100,00%
140720	CATEGORÍA D RIESGO SIGNIFICATIVO	0	86.602	86.602	100,00%
140725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	12.979.113	111.801	-12.867.312	-99,14%
140730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	487.563	0	-487.563	-100,00%
1408	DETERIORO CRÉDITOS DE VIVIENDA (CR)	-9.936.306	-7.488.225	2.448.081	-24,64%
140825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-9.936.306	-7.488.225	2.448.081	-24,64%
1409	DETERIORO INTERESES CRÉDITOS DE VIVIENDA (CR)	-253.084.592	-2.037.973	251.046.619	-99,19%
140910	CATEGORÍA B RIESGO ACEPTABLE	-30.039.415	0	30.039.415	-100,00%
140915	CATEGORÍA C RIESGO APRECIABLE	-216.652.283	0	216.652.283	-100,00%
140925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-800.577	0	800.577	-100,00%
140930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-5.592.317	-2.037.973	3.554.344	-63,56%
1410	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA (CR)	-23.879.860	-92.478	23.787.382	-99,61%
141015	CATEGORÍA C RIESGO APRECIABLE	-10.413.184	0	10.413.184	-100,00%
141025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-12.979.113	-92.478	12.886.635	-99,29%
141030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-487.563	0	487.563	-100,00%
1441	CRÉDITOS DE CONSUMO - CON LIBRANZA	30.487.842.045	31.444.113.989	956.271.944	3,14%
144105	CATEGORÍA A RIESGO NORMAL	29.966.499.946	31.235.418.254	1.268.918.308	4,23%
144110	CATEGORÍA B RIESGO ACEPTABLE	110.159.586	13.946.178	-96.213.408	-87,34%
144115	CATEGORÍA C RIESGO APRECIABLE	104.995.050	0	-104.995.050	-100,00%
144120	CATEGORÍA D RIESGO SIGNIFICATIVO	70.888.333	187.071.335	116.183.002	163,90%
144125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	235.299.130	7.678.222	-227.620.908	-96,74%
1442	CRÉDITOS DE CONSUMO - SIN LIBRANZA	56.346.083.915	47.132.274.466	-9.213.809.449	-16,35%
144205	CATEGORÍA A RIESGO NORMAL	51.810.224.160	42.528.643.047	-9.281.581.113	-17,91%
144210	CATEGORÍA B RIESGO ACEPTABLE	879.956.793	669.822.051	-210.134.742	-23,88%
144215	CATEGORÍA C RIESGO APRECIABLE	426.859.926	399.334.228	-27.525.698	-6,45%
144220	CATEGORÍA D RIESGO SIGNIFICATIVO	624.003.079	459.980.598	-164.022.481	-26,29%
144225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	2.605.039.957	3.074.494.542	469.454.585	18,02%
1443	INTERESES CRÉDITOS DE CONSUMO	1.409.461.491	1.006.341.529	-403.119.962	-28,60%
144305	CATEGORÍA A RIESGO NORMAL	919.142.247	698.942.530	-220.199.717	-23,96%
144310	CATEGORÍA B RIESGO ACEPTABLE	32.831.906	25.181.735	-7.650.171	-23,30%
144315	CATEGORÍA C RIESGO APRECIABLE	21.688.104	15.535.319	-6.152.785	-28,37%
144320	CATEGORÍA D RIESGO SIGNIFICATIVO	31.711.779	27.822.877	-3.888.902	-12,26%
144325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	372.288.212	221.150.518	-151.137.694	-40,60%
144330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	31.799.244	17.708.550	-14.090.694	-44,31%
