					
Código	Denominación	[A]	[B]	[B] VS [A]	
		feb-2025 Proyectado	feb-2025 Histórico	feb-2025 Histórico	
				VS	
				feb-2025 Proyectado	
		Monto	Monto	Monto	%
1	ACTIVO	213.276.768.136	241.974.148.737	28.697.380.601	13,46%
11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	32.864.011.604	26.302.523.629	-6.561.487.975	-19,97%
1105	CAJA	6.066.696.542	6.147.112.706	80.416.164	1,33%
110505	CAJA GENERAL	6.066.696.542	6.147.112.706	80.416.164	1,33%
1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	25.250.627.859	11.771.946.409	-13.478.681.450	-53,38%
111005	BANCOS COMERCIALES	16.292.023.653	10.085.370.732	-6.206.652.921	-38,10%
111010	BANCOS COOPERATIVOS	8.958.604.205	1.686.575.677	-7.272.028.528	-81,17%
1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	1.546.687.203	187.447.389	-1.359.239.814	-87,88%
111515	FONDOS FIDUCIARIOS A LA VISTA	1.546.687.203	187.447.389	-1.359.239.814	-87,88%
1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	8.196.017.125	8.196.017.125	100,00%
112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	8.196.017.125	8.196.017.125	100,00%
12	INVERSIONES	27.503.359.851	34.589.279.043	7.085.919.192	25,76%
1203	FONDO DE LIQUIDEZ	0	9.345.437.288	9.345.437.288	100,00%
120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	9.345.437.288	9.345.437.288	100,00%
1220	INVERSIONES EN ENTIDADES ASOCIADAS	0	247.000.000	247.000.000	100,00%
122001	INVERSIONES CONTABILIZADAS AL COSTO	0	247.000.000	247.000.000	100,00%
1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	15.293.714.300	1.093.141.384	-14.200.572.916	-92,85%
122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	15.293.714.300	1.093.141.384	-14.200.572.916	-92,85%
1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	12.209.645.551	23.903.700.371	11.694.054.820	95,78%
122811	TÍTULOS EMITIDOS AVALADOS ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDENCIA FINANCIERA (INCLUIDOS LOS BONOS OBLIGATORIA U OPCIONALMENTE CONVERTIBLES EN ACCIONES)	12.180.062.502	23.903.700.371	11.723.637.869	96,25%
122895	OTROS TÍTULOS	29.583.049	0	-29.583.049	-100,00%
14	CARTERA DE CRÉDITOS	141.361.641.364	170.336.941.175	28.975.299.810	20,50%
1404	CRÉDITOS DE VIVIENDA - CON LIBRANZA	76.706.744	76.939.825	233.082	0,30%
140405	CATEGORÍA A RIESGO NORMAL	76.706.744	76.939.825	233.082	0,30%
1405	CRÉDITOS DE VIVIENDA - SIN LIBRANZA	3.398.553.120	3.475.342.012	76.788.892	2,26%
140505	CATEGORÍA A RIESGO NORMAL	3.282.817.343	3.316.218.411	33.401.068	1,02%
140510	CATEGORÍA B RIESGO ACEPTABLE	53.190.115	59.680.400	6.490.285	12,20%
140515	CATEGORÍA C RIESGO APRECIABLE	0	52.193.988	52.193.988	100,00%
140520	CATEGORÍA D RIESGO SIGNIFICATIVO	0	37.038.463	37.038.463	100,00%
140525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	62.545.661	10.210.750	-52.334.911	-83,67%
1406	INTERESES CRÉDITOS DE VIVIENDA	43.463.223	35.941.641	-7.521.582	-17,31%
140605	CATEGORÍA A RIESGO NORMAL	28.319.390	28.105.415	-213.974	-0,76%
140610	CATEGORÍA B RIESGO ACEPTABLE	954.299	1.798.684	844.385	88,48%
140615	CATEGORÍA C RIESGO APRECIABLE	6.770.384	1.447.164	-5.323.220	-78,63%
140620	CATEGORÍA D RIESGO SIGNIFICATIVO	0	1.595.369	1.595.369	100,00%
140625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	683.311	627.277	-56.034	-8,20%
140630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	6.735.840	2.367.732	-4.368.108	-64,85%
1407	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS VIVIENDA	1.229.224	798.572	-430.652	-35,03%
140710	CATEGORÍA B RIESGO ACEPTABLE	81.353	0	-81.353	-100,00%
140715	CATEGORÍA C RIESGO APRECIABLE	162.706	63.703	-99.003	-60,85%
140720	CATEGORÍA D RIESGO SIGNIFICATIVO	0	33.900	33.900	100,00%
140725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	405.597	104.200	-301.397	-74,31%
140730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	579.568	596.769	17.201	2,97%
1408	DETERIORO CRÉDITOS DE VIVIENDA (CR)	-9.936.306	-7.521.603	2.414.703	-24,30%
140825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-9.936.306	-7.521.603	2.414.703	-24,30%
1409	DETERIORO INTERESES CRÉDITOS DE VIVIENDA (CR)	-21.377.931	-2.429.503	18.948.428	-88,64%
140910	CATEGORÍA B RIESGO ACEPTABLE	-7.555.370	0	7.555.370	-100,00%
140915	CATEGORÍA C RIESGO APRECIABLE	-6.770.384	0	6.770.384	-100,00%
140925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-683.311	0	683.311	-100,00%
140930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-6.368.866	-2.429.503	3.939.363	-61,85%
1410	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA (CR)	-1.147.871	-673.526	474.345	-41,32%
141015	CATEGORÍA C RIESGO APRECIABLE	-162.706	0	162.706	-100,00%
141025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-405.597	-76.757	328.840	-81,08%
141030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-579.568	-596.769	-17.201	2,97%
1441	CRÉDITOS DE CONSUMO - CON LIBRANZA	26.403.692.045	28.411.520.978	2.007.828.933	7,60%
144105	CATEGORÍA A RIESGO NORMAL	25.804.328.236	28.387.504.357	2.583.176.122	10,01%
144110	CATEGORÍA B RIESGO ACEPTABLE	244.420.561	15.917.982	-228.502.579	-93,49%
144115	CATEGORÍA C RIESGO APRECIABLE	39.649.544	0	-39.649.544	-100,00%
144120	CATEGORÍA D RIESGO SIGNIFICATIVO	103.867.390	0	-103.867.390	-100,00%
144125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	211.426.314	8.098.639	-203.327.675	-96,17%
1442	CRÉDITOS DE CONSUMO - SIN LIBRANZA	48.761.233.915	47.207.510.385	-1.553.723.530	-3,19%
