Código	Denominación	[A]	[B]	[B] VS [A]	
		jul-2025 Proyectado	jul-2025 Histórico	jul-2025 Histórico	
				VS	
				jul-2025 Proyectado	
		Monto	Monto	Monto	%
1	ACTIVO	250.325.769.605	265.803.892.630	15.478.123.026	6,18%
11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	58.652.817.389	33.162.115.458	-25.490.701.931	-43,46%
1105	CAJA	13.830.334.340	6.643.177.221	-7.187.157.119	-51,97%
110505	CAJA GENERAL	13.830.334.340	6.643.177.221	-7.187.157.119	-51,97%
1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	44.152.580.097	16.926.972.285	-27.225.607.812	-61,66%
111005	BANCOS COMERCIALES	35.767.437.929	16.049.342.262	-19.718.095.667	-55,13%
111010	BANCOS COOPERATIVOS	8.385.142.168	877.630.023	-7.507.512.145	-89,53%
1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	669.902.952	2.062.861.681	1.392.958.729	207,93%
111515	FONDOS FIDUCIARIOS A LA VISTA	669.902.952	2.062.861.681	1.392.958.729	207,93%
1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	7.529.104.271	7.529.104.271	100,00%
112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	7.529.104.271	7.529.104.271	100,00%
12	INVERSIONES	17.095.349.020	49.556.960.972	32.461.611.952	189,89%
1203	FONDO DE LIQUIDEZ	0	12.031.593.713	12.031.593.713	100,00%
120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	12.031.593.713	12.031.593.713	100,00%
1220	INVERSIONES EN ENTIDADES ASOCIADAS	453.236.962	247.000.000	-206.236.962	-45,50%
122001	INVERSIONES CONTABILIZADAS AL COSTO	453.236.962	247.000.000	-206.236.962	-45,50%
1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	1.897.266.758	1.104.822.723	-792.444.035	-41,77%
122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	1.897.266.758	1.104.822.723	-792.444.035	-41,77%
1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	14.744.845.299	36.173.544.536	21.428.699.237	145,33%
122811	TÍTULOS EMITIDOS AVALADOS ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDENCIA FINANCIERA (INCLUIDOS LOS BONOS OBLIGATORIA U OPCIONALMENTE CONVERTIBLES EN ACCIONES)	14.744.845.299	36.173.544.536	21.428.699.237	145,33%
14	CARTERA DE CRÉDITOS	159.443.098.264	171.170.421.084	11.727.322.820	7,36%
1404	CRÉDITOS DE VIVIENDA - CON LIBRANZA	76.706.744	72.402.199	-4.304.545	-5,61%
140405	CATEGORÍA A RIESGO NORMAL	76.706.744	72.402.199	-4.304.545	-5,61%
1405	CRÉDITOS DE VIVIENDA - SIN LIBRANZA	3.398.553.120	3.754.092.051	355.538.931	10,46%
140505	CATEGORÍA A RIESGO NORMAL	3.282.817.343	3.636.640.081	353.822.738	10,78%
140510	CATEGORÍA B RIESGO ACEPTABLE	53.190.115	20.220.150	-32.969.965	-61,99%
140515	CATEGORÍA C RIESGO APRECIABLE	40.114.883	0	-40.114.883	-100,00%
140520	CATEGORÍA D RIESGO SIGNIFICATIVO	0	87.021.070	87.021.070	100,00%
140525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	22.430.778	10.210.750	-12.220.028	-54,48%
1406	INTERESES CRÉDITOS DE VIVIENDA	259.171.863	34.361.698	-224.810.165	-86,74%
140605	CATEGORÍA A RIESGO NORMAL	28.770.213	28.008.563	-761.650	-2,65%
140610	CATEGORÍA B RIESGO ACEPTABLE	6.992.492	469.833	-6.522.659	-93,28%
140615	CATEGORÍA C RIESGO APRECIABLE	216.652.283	0	-216.652.283	-100,00%
140620	CATEGORÍA D RIESGO SIGNIFICATIVO	0	3.212.772	3.212.772	100,00%
140625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	800.635	627.277	-173.358	-21,65%
140630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	5.956.240	2.043.253	-3.912.987	-65,70%
1407	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS VIVIENDA	21.276.564	412.103	-20.864.461	-98,06%
140705	CATEGORÍA A RIESGO NORMAL	0	43.800	43.800	100,00%
140710	CATEGORÍA B RIESGO ACEPTABLE	2.603.296	65.700	-2.537.596	-97,48%
140715	CATEGORÍA C RIESGO APRECIABLE	5.206.592	0	-5.206.592	-100,00%
140720	CATEGORÍA D RIESGO SIGNIFICATIVO	0	176.503	176.503	100,00%
140725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	12.979.113	126.100	-12.853.013	-99,03%
140730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	487.563	0	-487.563	-100,00%
1408	DETERIORO CRÉDITOS DE VIVIENDA (CR)	-9.936.306	-7.488.225	2.448.081	-24,64%
140825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-9.936.306	-7.488.225	2.448.081	-24,64%
1409	DETERIORO INTERESES CRÉDITOS DE VIVIENDA (CR)	-299.520.769	-2.102.973	297.417.796	-99,30%
140910	CATEGORÍA B RIESGO ACEPTABLE	-76.436.170	0	76.436.170	-100,00%
140915	CATEGORÍA C RIESGO APRECIABLE	-216.652.283	0	216.652.283	-100,00%
140925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-800.577	0	800.577	-100,00%
140930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-5.631.739	-2.102.973	3.528.766	-62,66%
1410	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA (CR)	-18.673.268	-92.478	18.580.790	-99,50%
141015	CATEGORÍA C RIESGO APRECIABLE	-5.206.592	0	5.206.592	-100,00%
141025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-12.979.113	-92.478	12.886.635	-99,29%
141030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-487.563	0	487.563	-100,00%
1441	CRÉDITOS DE CONSUMO - CON LIBRANZA	29.811.292.045	31.634.952.710	1.823.660.665	6,12%
144105	CATEGORÍA A RIESGO NORMAL	29.295.556.693	31.403.991.226	2.108.434.533	7,20%
144110	CATEGORÍA B RIESGO ACEPTABLE	171.120.990	34.932.547	-136.188.443	-79,59%
144115	CATEGORÍA C RIESGO APRECIABLE	47.389.585	188.350.715	140.961.130	297,45%
