Código	Denominación	[A]	[B]	[B] VS [A]	
			jun-2025 Histórico	jun-2025 Histórico	
				VS	
				jun-2025 Proyectado	
		Monto	Monto	Monto	%
1	ACTIVO	158.724.036.654	250.733.293.684	92.009.257.030	57,97%
11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	73.579.533.862	36.760.721.375	-36.818.812.486	-50,04%
1105	CAJA	18.166.786.910	6.265.819.750	-11.900.967.160	-65,51%
110505	CAJA GENERAL	18.166.786.910	6.265.819.750	-11.900.967.160	-65,51%
1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	50.691.147.422	22.577.811.042	-28.113.336.380	-55,46%
111005	BANCOS COMERCIALES	39.264.497.724	19.652.016.240	-19.612.481.484	-49,95%
111010	BANCOS COOPERATIVOS	11.426.649.698	2.925.794.802	-8.500.854.896	-74,39%
1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	4.721.599.530	914.133.738	-3.807.465.792	-80,64%
111515	FONDOS FIDUCIARIOS A LA VISTA	4.721.599.530	914.133.738	-3.807.465.792	-80,64%
1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	7.002.956.845	7.002.956.845	100,00%
112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	7.002.956.845	7.002.956.845	100,00%
12	INVERSIONES	16.982.134.788	31.268.861.335	14.286.726.547	84,13%
1203	FONDO DE LIQUIDEZ	0	9.953.062.522	9.953.062.522	100,00%
120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	9.953.062.522	9.953.062.522	100,00%
1220	INVERSIONES EN ENTIDADES ASOCIADAS	1.276.494.529	247.000.000	-1.029.494.529	-80,65%
122001	INVERSIONES CONTABILIZADAS AL COSTO	1.276.494.529	247.000.000	-1.029.494.529	-80,65%
1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	5.343.453.510	1.093.141.384	-4.250.312.126	-79,54%
122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	5.343.453.510	1.093.141.384	-4.250.312.126	-79,54%
1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	10.362.186.749	19.975.657.429	9.613.470.680	92,77%
122811	TÍTULOS EMITIDOS AVALADOS ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDENCIA FINANCIERA (INCLUIDOS LOS BONOS OBLIGATORIA U OPCIONALMENTE CONVERTIBLES EN ACCIONES)	10.362.186.749	19.975.657.429	9.613.470.680	92,77%
14	CARTERA DE CRÉDITOS	56.232.086.196	170.696.528.535	114.464.442.340	203,56%
1404	CRÉDITOS DE VIVIENDA - CON LIBRANZA	76.706.744	73.085.888	-3.620.856	-4,72%
140405	CATEGORÍA A RIESGO NORMAL	76.706.744	73.085.888	-3.620.856	-4,72%
1405	CRÉDITOS DE VIVIENDA - SIN LIBRANZA	3.398.553.120	3.830.751.670	432.198.550	12,72%
140505	CATEGORÍA A RIESGO NORMAL	3.282.817.343	3.709.779.305	426.961.962	13,01%
140510	CATEGORÍA B RIESGO ACEPTABLE	53.190.115	14.360.297	-38.829.818	-73,00%
140515	CATEGORÍA C RIESGO APRECIABLE	20.848.554	0	-20.848.554	-100,00%
140520	CATEGORÍA D RIESGO SIGNIFICATIVO	20.848.554	96.401.318	75.552.764	362,39%
140525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	20.848.554	10.210.750	-10.637.804	-51,02%
1406	INTERESES CRÉDITOS DE VIVIENDA	156.636.962	37.917.345	-118.719.617	-75,79%
140605	CATEGORÍA A RIESGO NORMAL	30.444.670	31.728.770	1.284.100	4,22%
140610	CATEGORÍA B RIESGO ACEPTABLE	11.058.820	235.273	-10.823.547	-97,87%
140615	CATEGORÍA C RIESGO APRECIABLE	108.326.141	0	-108.326.141	-100,00%
140620	CATEGORÍA D RIESGO SIGNIFICATIVO	0	3.212.772	3.212.772	100,00%
140625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	800.635	627.277	-173.358	-21,65%
140630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	6.006.696	2.113.253	-3.893.443	-64,82%
1407	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS VIVIENDA	10.882.063	362.404	-10.519.659	-96,67%
140710	CATEGORÍA B RIESGO ACEPTABLE	1.301.648	0	-1.301.648	-100,00%
140715	CATEGORÍA C RIESGO APRECIABLE	2.603.296	0	-2.603.296	-100,00%
140720	CATEGORÍA D RIESGO SIGNIFICATIVO	0	236.304	236.304	100,00%
140725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	6.489.556	126.100	-6.363.456	-98,06%
140730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	487.563	0	-487.563	-100,00%
1408	DETERIORO CRÉDITOS DE VIVIENDA (CR)	-9.936.306	-7.488.225	2.448.081	-24,64%
140825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-9.936.306	-7.488.225	2.448.081	-24,64%
1409	DETERIORO INTERESES CRÉDITOS DE VIVIENDA (CR)	-235.684.085	-2.172.973	233.511.112	-99,08%
140910	CATEGORÍA B RIESGO ACEPTABLE	-120.885.924	0	120.885.924	-100,00%
140915	CATEGORÍA C RIESGO APRECIABLE	-108.326.141	0	108.326.141	-100,00%
140925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-792.572	0	792.572	-100,00%
140930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-5.679.447	-2.172.973	3.506.474	-61,74%
1410	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA (CR)	-9.580.415	-92.478	9.487.937	-99,03%
141015	CATEGORÍA C RIESGO APRECIABLE	-2.603.296	0	2.603.296	-100,00%
141025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-6.489.556	-92.478	6.397.078	-98,57%
141030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-487.563	0	487.563	-100,00%
1441	CRÉDITOS DE CONSUMO - CON LIBRANZA	29.132.992.045	29.477.543.879	344.551.834	1,18%
144105	CATEGORÍA A RIESGO NORMAL	23.119.942.487	29.266.444.708	6.146.502.222	26,59%
144110	CATEGORÍA B RIESGO ACEPTABLE	80.574.864	203.420.949	122.846.085	152,46%
144115	CATEGORÍA C RIESGO APRECIABLE	84.232.724	0	-84.232.724	-100,00%
144125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	5.848.241.970	7.678.222	-5.840.563.748	-99,87%
1442	CRÉDITOS DE CONSUMO - SIN LIBRANZA	53.829.933.915	47.940.463.880	-5.889.470.035	-10,94%
144205	CATEGORÍA A RIESGO NORMAL	50.643.201.828	42.478.985.853	-8.164.215.975	-16,12%
144210	CATEGORÍA B RIESGO ACEPTABLE	680.685.974	756.725.883	76.039.909	11,17%
144215	CATEGORÍA C RIESGO APRECIABLE	333.055.745	354.987.650	21.931.905	6,59%
144220	CATEGORÍA D RIESGO SIGNIFICATIVO	456.773.012	841.532.453	384.759.441	84,23%
144225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.716.217.356	3.508.232.041	1.792.014.685	104,42%
