	Código	Denominación	[A]	[B]	[B] VS [A]	
			mar-2025 Proyectado	mar-2025 Histórico	mar-2025 Histórico	
					VS	
					mar-2025 Proyectado	
			Monto	Monto	Monto	%
	1	ACTIVO	221.215.973.606	236.072.956.588	14.856.982.983	6,72%
	11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	38.371.951.093	26.950.714.135	-11.421.236.958	-29,76%
	1105	CAJA	8.771.828.020	4.075.011.650	-4.696.816.370	-53,54%
	110505	CAJA GENERAL	8.771.828.020	4.075.011.650	-4.696.816.370	-53,54%
	1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	27.756.876.882	14.447.993.003	-13.308.883.879	-47,95%
	111005	BANCOS COMERCIALES	20.371.364.681	13.171.278.253	-7.200.086.428	-35,34%
	111010	BANCOS COOPERATIVOS	7.385.512.201	1.276.714.750	-6.108.797.451	-82,71%
	1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	1.843.246.191	197.091.800	-1.646.154.391	-89,31%
	111515	FONDOS FIDUCIARIOS A LA VISTA	1.843.246.191	197.091.800	-1.646.154.391	-89,31%
	1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	8.230.617.682	8.230.617.682	100,00%
	112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	8.230.617.682	8.230.617.682	100,00%
	12	INVERSIONES	20.663.382.250	27.553.738.566	6.890.356.316	33,35%
	1203	FONDO DE LIQUIDEZ	0	9.409.441.764	9.409.441.764	100,00%
	120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	9.409.441.764	9.409.441.764	100,00%
	1220	INVERSIONES EN ENTIDADES ASOCIADAS	3.984.426.198	247.000.000	-3.737.426.198	-93,80%
	122001	INVERSIONES CONTABILIZADAS AL COSTO	3.984.426.198	247.000.000	-3.737.426.198	-93,80%
	1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	16.678.956.052	1.093.141.384	-15.585.814.668	-93,45%
	122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	16.678.956.052	1.093.141.384	-15.585.814.668	-93,45%
	1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	0	16.804.155.418	16.804.155.418	100,00%
