Código	Denominación	[A]	[B]	[B] VS [A]	
		may-2025 Proyectado	may-2025 Histórico	may-2025 Histórico	
				VS	
				may-2025 Proyectado	
		Monto	Monto	Monto	%
1	ACTIVO	229.685.000.900	237.746.359.304	8.061.358.404	3,51%
11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	71.313.854.101	28.438.907.414	-42.874.946.687	-60,12%
1105	CAJA	17.521.813.953	7.265.491.724	-10.256.322.228	-58,53%
110505	CAJA GENERAL	17.521.813.953	7.265.491.724	-10.256.322.228	-58,53%
1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	52.672.707.373	14.231.360.946	-38.441.346.427	-72,98%
111005	BANCOS COMERCIALES	46.071.313.154	12.028.270.910	-34.043.042.244	-73,89%
111010	BANCOS COOPERATIVOS	6.601.394.219	2.203.090.036	-4.398.304.183	-66,63%
1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	1.119.332.775	461.527.632	-657.805.143	-58,77%
111515	FONDOS FIDUCIARIOS A LA VISTA	1.119.332.775	461.527.632	-657.805.143	-58,77%
1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	6.480.527.112	6.480.527.112	100,00%
112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	6.480.527.112	6.480.527.112	100,00%
12	INVERSIONES	16.869.670.319	25.740.613.171	8.870.942.852	52,59%
1203	FONDO DE LIQUIDEZ	0	9.542.841.641	9.542.841.641	100,00%
120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	9.542.841.641	9.542.841.641	100,00%
1220	INVERSIONES EN ENTIDADES ASOCIADAS	3.252.901.948	247.000.000	-3.005.901.948	-92,41%
122001	INVERSIONES CONTABILIZADAS AL COSTO	3.252.901.948	247.000.000	-3.005.901.948	-92,41%
1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	13.616.768.372	1.093.141.384	-12.523.626.988	-91,97%
122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	13.616.768.372	1.093.141.384	-12.523.626.988	-91,97%
1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	0	14.857.630.146	14.857.630.146	100,00%
122811	TÍTULOS EMITIDOS AVALADOS ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDENCIA FINANCIERA (INCLUIDOS LOS BONOS OBLIGATORIA U OPCIONALMENTE CONVERTIBLES EN ACCIONES)	0	14.857.630.146	14.857.630.146	100,00%
14	CARTERA DE CRÉDITOS	129.989.972.011	171.518.085.690	41.528.113.679	31,95%
1404	CRÉDITOS DE VIVIENDA - CON LIBRANZA	76.706.744	73.762.935	-2.943.809	-3,84%
140405	CATEGORÍA A RIESGO NORMAL	76.706.744	73.762.935	-2.943.809	-3,84%
1405	CRÉDITOS DE VIVIENDA - SIN LIBRANZA	3.398.553.120	3.673.400.971	274.847.851	8,09%
140505	CATEGORÍA A RIESGO NORMAL	3.282.817.343	3.522.237.280	239.419.937	7,29%
140510	CATEGORÍA B RIESGO ACEPTABLE	53.190.115	44.551.623	-8.638.492	-16,24%
140515	CATEGORÍA C RIESGO APRECIABLE	0	59.362.855	59.362.855	100,00%
140520	CATEGORÍA D RIESGO SIGNIFICATIVO	0	37.038.463	37.038.463	100,00%
140525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	62.545.661	10.210.750	-52.334.911	-83,67%
1406	INTERESES CRÉDITOS DE VIVIENDA	98.781.246	31.932.158	-66.849.088	-67,67%
140605	CATEGORÍA A RIESGO NORMAL	24.625.633	24.461.177	-164.456	-0,67%
140610	CATEGORÍA B RIESGO ACEPTABLE	13.707.016	1.447.679	-12.259.337	-89,44%
140615	CATEGORÍA C RIESGO APRECIABLE	54.163.071	1.617.403	-52.545.668	-97,01%
140620	CATEGORÍA D RIESGO SIGNIFICATIVO	0	1.595.369	1.595.369	100,00%
140625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	683.311	627.277	-56.034	-8,20%
140630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	5.602.216	2.183.253	-3.418.963	-61,03%
1407	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS VIVIENDA	5.684.813	362.404	-5.322.409	-93,63%
140710	CATEGORÍA B RIESGO ACEPTABLE	650.824	0	-650.824	-100,00%
140715	CATEGORÍA C RIESGO APRECIABLE	1.301.648	137.503	-1.164.145	-89,44%
140720	CATEGORÍA D RIESGO SIGNIFICATIVO	0	98.801	98.801	100,00%
140725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	3.244.778	126.100	-3.118.678	-96,11%
140730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	487.563	0	-487.563	-100,00%
1408	DETERIORO CRÉDITOS DE VIVIENDA (CR)	-9.936.306	-7.488.225	2.448.081	-24,64%
140810	CATEGORÍA B RIESGO ACEPTABLE	-88.406	0	88.406	-100,00%
140825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-9.847.900	-7.488.225	2.359.675	-23,96%
1409	DETERIORO INTERESES CRÉDITOS DE VIVIENDA (CR)	-120.586.347	-2.242.973	118.343.374	-98,14%
140910	CATEGORÍA B RIESGO ACEPTABLE	-60.442.962	0	60.442.962	-100,00%
140915	CATEGORÍA C RIESGO APRECIABLE	-54.163.071	0	54.163.071	-100,00%
140925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-683.311	0	683.311	-100,00%
140930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-5.297.003	-2.242.973	3.054.030	-57,66%
1410	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA (CR)	-5.033.989	-92.478	4.941.511	-98,16%
141015	CATEGORÍA C RIESGO APRECIABLE	-1.301.648	0	1.301.648	-100,00%
141025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-3.244.778	-92.478	3.152.300	-97,15%
141030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-487.563	0	487.563	-100,00%
1441	CRÉDITOS DE CONSUMO - CON LIBRANZA	28.452.942.045	28.816.961.276	364.019.231	1,28%
144105	CATEGORÍA A RIESGO NORMAL	28.054.600.856	28.759.863.370	705.262.514	2,51%
144110	CATEGORÍA B RIESGO ACEPTABLE	50.151.156	49.419.684	-731.472	-1,46%
144115	CATEGORÍA C RIESGO APRECIABLE	16.388.212	0	-16.388.212	-100,00%
144120	CATEGORÍA D RIESGO SIGNIFICATIVO	149.528.868	0	-149.528.868	-100,00%
144125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	182.272.953	7.678.222	-174.594.731	-95,79%
1442	CRÉDITOS DE CONSUMO - SIN LIBRANZA	52.566.983.915	47.872.119.481	-4.694.864.434	-8,93%
144205	CATEGORÍA A RIESGO NORMAL	48.782.529.265	42.469.022.583	-6.313.506.682	-12,94%
144210	CATEGORÍA B RIESGO ACEPTABLE	509.130.466	716.941.120	207.810.654	40,82%
144215	CATEGORÍA C RIESGO APRECIABLE	328.748.464	457.048.247	128.299.783	39,03%
144220	CATEGORÍA D RIESGO SIGNIFICATIVO	631.658.130	710.778.060	79.119.930	12,53%
144225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	2.314.917.590	3.518.329.471	1.203.411.881	51,99%
1443	INTERESES CRÉDITOS DE CONSUMO	1.254.514.131	1.071.679.641	-182.834.490	-14,57%
144305	CATEGORÍA A RIESGO NORMAL	832.020.532	711.433.071	-120.587.461	-14,49%
144310	CATEGORÍA B RIESGO ACEPTABLE	27.265.641	25.631.710	-1.633.931	-5,99%
144315	CATEGORÍA C RIESGO APRECIABLE	15.353.203	20.348.191	4.994.988	32,53%
144320	CATEGORÍA D RIESGO SIGNIFICATIVO	38.921.787	36.484.150	-2.437.637	-6,26%
144325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	303.134.886	254.351.149	-48.783.737	-16,09%
144330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	37.818.081	23.431.370	-14.386.711	-38,04%
1444	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS CONSUMO	47.211.301	27.289.940	-19.921.361	-42,20%
144405	CATEGORÍA A RIESGO NORMAL	1.301.648	42.800	-1.258.848	-96,71%
144410	CATEGORÍA B RIESGO ACEPTABLE	650.824	0	-650.824	-100,00%
144415	CATEGORÍA C RIESGO APRECIABLE	1.301.648	43.801	-1.257.847	-96,63%
144420	CATEGORÍA D RIESGO SIGNIFICATIVO	14.003.616	474.233	-13.529.383	-96,61%
144425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	28.305.344	26.729.106	-1.576.238	-5,57%
144430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	1.648.222	0	-1.648.222	-100,00%
1445	DETERIORO CRÉDITOS DE CONSUMO (CR)	-22.640.133.237	-3.571.410.219	19.068.723.018	-84,23%
144510	CATEGORÍA A RIESGO NORMAL	0	-301.527.667	-301.527.667	100,00%
144520	CATEGORÍA B RIESGO ACEPTABLE	-72.893.198	-26.793.749	46.099.449	-63,24%
144530	CATEGORÍA C RIESGO APRECIABLE	-425.186.451	-39.836.405	385.350.046	-90,63%
144540	CATEGORÍA D RIESGO SIGNIFICATIVO	-1.878.342.908	-418.743.241	1.459.599.667	-77,71%
144550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-20.263.710.680	-2.784.509.157	17.479.201.523	-86,26%
1446	DETERIORO INTERESES CRÉDITOS DE CONSUMO (CR)	-395.110.316	-253.237.278	141.873.038	-35,91%
144605	CATEGORÍA A RIESGO NORMAL	0	-3.710.691	-3.710.691	100,00%
144610	CATEGORÍA B RIESGO ACEPTABLE	0	-923.094	-923.094	100,00%
144615	CATEGORÍA C RIESGO APRECIABLE	-15.353.203	-1.716.924	13.636.279	-88,82%
144620	CATEGORÍA D RIESGO SIGNIFICATIVO	-38.921.787	-21.440.097	17.481.690	-44,91%
144625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-303.220.040	-206.943.356	96.276.684	-31,75%
144630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-37.615.286	-18.503.116	19.112.170	-50,81%
1447	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-45.258.829	-22.833.959	22.424.870	-49,55%
144715	CATEGORÍA C RIESGO APRECIABLE	-1.301.648	-2.763	1.298.885	-99,79%
144720	CATEGORÍA D RIESGO SIGNIFICATIVO	-14.003.616	-267.345	13.736.271	-98,09%
144725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-28.305.344	-22.563.851	5.741.493	-20,28%
144730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-1.648.222	0	1.648.222	-100,00%
1455	MICROCRÉDITO EMPRESARIAL	15.877.074.024	17.391.012.180	1.513.938.156	9,54%
145505	CATEGORÍA A RIESGO NORMAL	13.860.608.924	12.411.886.396	-1.448.722.528	-10,45%
145510	CATEGORÍA B RIESGO ACEPTABLE	-54.917.992	391.662.767	446.580.759	-813,18%
145515	CATEGORÍA C RIESGO APRECIABLE	206.475.490	197.744.746	-8.730.744	-4,23%
145520	CATEGORÍA D RIESGO SIGNIFICATIVO	207.303.884	134.980.320	-72.323.564	-34,89%
145525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.657.603.719	4.254.737.951	2.597.134.231	156,68%
1456	INTERESES MICROCRÉDITO EMPRESARIAL	2.170.115.001	1.384.014.727	-786.100.274	-36,22%
145605	CATEGORÍA A RIESGO NORMAL	762.931.996	688.244.562	-74.687.433	-9,79%
145610	CATEGORÍA B RIESGO ACEPTABLE	14.124.303	38.403.801	24.279.498	171,90%
145615	CATEGORÍA C RIESGO APRECIABLE	23.029.889	23.412.558	382.669	1,66%
