	Código	Denominación	[A]	[B]	[B] VS [A]	
			sep-2025 Proyectado	sep-2025 Histórico	sep-2025 Histórico	
					VS	
					sep-2025 Proyectado	
			Monto	Monto	Monto	%
	1	ACTIVO	262.018.356.125	290.591.001.521	28.572.645.396	10,90%
	11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	65.650.597.501	37.892.351.616	-27.758.245.885	-42,28%
	1105	CAJA	14.515.347.108	6.683.223.750	-7.832.123.357	-53,96%
	110505	CAJA GENERAL	14.515.347.108	6.683.223.750	-7.832.123.357	-53,96%
	1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	42.280.205.756	20.848.210.020	-21.431.995.736	-50,69%
	111005	BANCOS COMERCIALES	33.432.123.504	16.144.552.342	-17.287.571.162	-51,71%
	111010	BANCOS COOPERATIVOS	8.848.082.252	4.703.657.678	-4.144.424.574	-46,84%
	1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	8.855.044.638	2.066.140.221	-6.788.904.417	-76,67%
	111515	FONDOS FIDUCIARIOS A LA VISTA	8.855.044.638	2.066.140.221	-6.788.904.417	-76,67%
	1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	8.294.777.625	8.294.777.625	100,00%
	112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	8.094.777.625	8.094.777.625	100,00%
	112045	REMESAS EN TRÁNSITO	0	200.000.000	200.000.000	100,00%
	12	INVERSIONES	22.340.713.467	69.639.985.099	47.299.271.632	211,72%
	1203	FONDO DE LIQUIDEZ	0	12.986.412.647	12.986.412.647	100,00%
	120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	12.986.412.647	12.986.412.647	100,00%
	1220	INVERSIONES EN ENTIDADES ASOCIADAS	356.678.781	247.000.000	-109.678.781	-30,75%
	122001	INVERSIONES CONTABILIZADAS AL COSTO	356.678.781	247.000.000	-109.678.781	-30,75%
	1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	1.493.070.627	1.104.822.723	-388.247.904	-26,00%
	122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	1.493.070.627	1.104.822.723	-388.247.904	-26,00%
	1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	20.490.964.058	55.301.749.729	34.810.785.671	169,88%
	122811	TÍTULOS EMITIDOS AVALADOS ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDENCIA FINANCIERA (INCLUIDOS LOS BONOS OBLIGATORIA U OPCIONALMENTE CONVERTIBLES EN ACCIONES)	20.490.964.058	55.301.749.729	34.810.785.671	169,88%
	14	CARTERA DE CRÉDITOS	160.867.593.657	170.803.743.848	9.936.150.191	6,18%
	1404	CRÉDITOS DE VIVIENDA - CON LIBRANZA	76.706.744	145.234.486	68.527.743	89,34%
	140405	CATEGORÍA A RIESGO NORMAL	76.706.744	145.234.486	68.527.743	89,34%
	1405	CRÉDITOS DE VIVIENDA - SIN LIBRANZA	3.398.553.120	3.917.323.948	518.770.828	15,26%
	140505	CATEGORÍA A RIESGO NORMAL	3.282.817.343	3.807.040.845	524.223.502	15,97%
	140510	CATEGORÍA B RIESGO ACEPTABLE	53.190.115	9.565.376	-43.624.739	-82,02%
	140515	CATEGORÍA C RIESGO APRECIABLE	40.114.883	10.654.774	-29.460.109	-73,44%
