Código	Denominación	[A]	[B]	[B] VS [A]	
		ene-2025 Proyectado	ene-2025 Histórico	ene-2025 Histórico	
				VS	
				ene-2025 Proyectado	
		Monto	Monto	Monto	%
1	ACTIVO	220.342.007.644	245.897.984.209	25.555.976.566	11,60%
11	EFECTIVO Y EQUIVALENTE AL EFECTIVO	33.608.702.242	31.024.411.867	-2.584.290.374	-7,69%
1105	CAJA	7.013.409.950	7.530.682.598	517.272.648	7,38%
110505	CAJA GENERAL	7.000.692.677	7.530.682.598	529.989.921	7,57%
110510	CAJA MENOR	12.717.273	0	-12.717.273	-100,00%
1110	BANCOS Y OTRAS ENTIDADES CON ACTIVIDAD FINANCIERA	24.166.833.885	14.608.262.200	-9.558.571.685	-39,55%
111005	BANCOS COMERCIALES	15.186.233.294	12.350.471.621	-2.835.761.673	-18,67%
111010	BANCOS COOPERATIVOS	8.980.600.591	2.257.790.579	-6.722.810.012	-74,86%
1115	EQUIVALENTES AL EFECTIVO (compromiso de pago)	2.428.458.407	720.533.035	-1.707.925.372	-70,33%
111515	FONDOS FIDUCIARIOS A LA VISTA	2.428.458.407	720.533.035	-1.707.925.372	-70,33%
1120	EFECTIVO DE USO RESTRINGIDO Y/O CON DESTINACIÓN ESPECÍFICA	0	8.164.934.034	8.164.934.034	100,00%
112005	FONDO DE LIQUIDEZ - CUENTAS DE AHORRO	0	8.164.934.034	8.164.934.034	100,00%
12	INVERSIONES	31.307.973.362	36.405.650.608	5.097.677.246	16,28%
1203	FONDO DE LIQUIDEZ	0	9.278.952.205	9.278.952.205	100,00%
120305	FONDO DE LIQUIDEZ - CERTIFICADOS DE DEPÓSITO A TÉRMINO - CDT	0	9.278.952.205	9.278.952.205	100,00%
1220	INVERSIONES EN ENTIDADES ASOCIADAS	0	247.000.000	247.000.000	100,00%
122001	INVERSIONES CONTABILIZADAS AL COSTO	0	247.000.000	247.000.000	100,00%
1226	OTRAS INVERSIONES EN INSTRUMENTOS DE PATRIMONIO	8.240.711.718	1.093.141.384	-7.147.570.334	-86,73%
122602	APORTES SOCIALES EN ENTIDADES ECONOMÍA SOLIDARIA	8.240.711.718	1.093.141.384	-7.147.570.334	-86,73%
1228	INVERSIONES CONTABILIZADAS A COSTO AMORTIZADO	23.067.261.644	25.786.557.019	2.719.295.375	11,79%
